Title,Requests,Artist,Track
Erich-Weinert-Ensemble - Auferstanden aus Ruinen,2,Erich-Weinert-Ensemble ,Auferstanden aus Ruinen
Pilocka Krach - Ay Caramba,2,Pilocka Krach ,Ay Caramba
Dicht & Ergreifend - Bierfahrerbeifahrer,2,Dicht & Ergreifend ,Bierfahrerbeifahrer
Satoshi Nakamoto - Bitcoin,2,Satoshi Nakamoto ,Bitcoin
Heino - Blau blüht der Enzian,2,Heino ,Blau blüht der Enzian
Frank Zappa - Bobby Brown,2,Frank Zappa ,Bobby Brown
Die Toten Hosen - Bonnie & Clyde,2,Die Toten Hosen ,Bonnie & Clyde
Blümchen - Boomerang,2,Blümchen ,Boomerang
Dream Theater - Bridges in the Sky,2,Dream Theater ,Bridges in the Sky
Geier Sturzflug - Bruttosozialprodukt,2,Geier Sturzflug ,Bruttosozialprodukt
Max Romeo - Chase The Devil,2,Max Romeo ,Chase The Devil
Schnipo Schranke - Cluburlaub,2,Schnipo Schranke ,Cluburlaub
Die Draufgänger - Cordula Grün,2,Die Draufgänger ,Cordula Grün
salem ilese - Crypto ₿oy,2,salem ilese ,Crypto ₿oy
Methodman & Redman - Da Rockwilder,2,Methodman & Redman ,Da Rockwilder
German Truck Riders - Das Muss Kesseln,2,German Truck Riders ,Das Muss Kesseln
P!nk - Dear Mr. President,2,P!nk ,Dear Mr. President
Die jungen Zillertaler - Dem Land Tirol die Treue,2,Die jungen Zillertaler ,Dem Land Tirol die Treue
Udo Jürgens - Der große Abschied,2,Udo Jürgens ,Der große Abschied
DŸSE - Der Haifisch die Zähne,2,DŸSE ,Der Haifisch die Zähne
Money Boy - Der Louis Store War Zu,2,Money Boy ,Der Louis Store War Zu
Schädelberg - Der Tag steht schon fest,2,Schädelberg ,Der Tag steht schon fest
Rammstein - Deutschland,2,Rammstein ,Deutschland
Julian Sommer - Dicht im Flieger,2,Julian Sommer ,Dicht im Flieger
Georg Danzer - Die Freiheit,2,Georg Danzer ,Die Freiheit
Helge Schneider - Die Herren Politiker,2,Helge Schneider ,Die Herren Politiker
Rodgau Monotones - Die Hesse komme!,2,Rodgau Monotones ,Die Hesse komme!
Günther - Ding Dong Song - Radio Edit,2,Günther ,Ding Dong Song - Radio Edit
Why Sl Know Plug - Dip,2,Why Sl Know Plug ,Dip
Michael Schenker Group - Doctor Doctor,2,Michael Schenker Group ,Doctor Doctor
Michael Schenker Group - Doctor Doctor - Live,2,Michael Schenker Group ,Doctor Doctor - Live
Der Martin - Drei Worte Wie Ein Gedicht (Steuern Sind Raub),2,Der Martin ,Drei Worte Wie Ein Gedicht (Steuern Sind Raub)
Slipknot - Duality,2,Slipknot ,Duality
Michael Wendler - Egal,2,Michael Wendler ,Egal
Roger Whittaker - Ein bisschen Aroma - DAS ORIGINAL,2,Roger Whittaker ,Ein bisschen Aroma - DAS ORIGINAL
Grauzone - Eisbär,2,Grauzone ,Eisbär
Kontra K - Erfolg ist kein Glück,2,Kontra K ,Erfolg ist kein Glück
"Helge Schneider - Es gibt Reis, Baby",2,Helge Schneider ,"Es gibt Reis, Baby"
Dicht & Ergreifend - Es werde Dicht,2,Dicht & Ergreifend ,Es werde Dicht
Kes - Fallin,2,Kes ,Fallin
Alligatoah - Feinstaub,2,Alligatoah ,Feinstaub
atomicc - Fiat Matrix,2,atomicc ,Fiat Matrix
Grossstadtgeflüster - Fickt-Euch-Allee,2,Grossstadtgeflüster ,Fickt-Euch-Allee
Creedence Clearwater Revival - Fortunate Son,2,Creedence Clearwater Revival ,Fortunate Son
Ski Aggu - Friesenjung,2,Ski Aggu ,Friesenjung
Morten Harket - Gammal og vis,2,Morten Harket ,Gammal og vis
MoTrip - Guten Morgen NSA,2,MoTrip ,Guten Morgen NSA
Excrementory Grindfuckers - Halb & Halb,2,Excrementory Grindfuckers ,Halb & Halb
Jeff Buckley - Hallelujah,2,Jeff Buckley ,Hallelujah
Seiler und Speer - Ham kummst,2,Seiler und Speer ,Ham kummst
"Harris & Ford - Hard, Style & Volksmusik",2,Harris & Ford ,"Hard, Style & Volksmusik"
Thundermother - Hellevator,2,Thundermother ,Hellevator
Helge Schneider - Heute hab ich gute Laune,2,Helge Schneider ,Heute hab ich gute Laune
SLACKCiRCUS - Heyyeyaaeyaaaeyaeyaa (Fabulous Secret Powers),2,SLACKCiRCUS ,Heyyeyaaeyaaaeyaeyaa (Fabulous Secret Powers)
Dodo - Hippie-Bus,2,Dodo ,Hippie-Bus
Focus - Hocus Pocus,2,Focus ,Hocus Pocus
Electric Callboy - Hurrikan,2,Electric Callboy ,Hurrikan
The Lonely Island - I Just Had Sex,2,The Lonely Island ,I Just Had Sex
Technohead - I Wanna Be A Hippy,2,Technohead ,I Wanna Be A Hippy
Backstreet Boys - I Want It That Way,2,Backstreet Boys ,I Want It That Way
K.I.Z - Ich bin Adolf Hitler,2,K.I.Z ,Ich bin Adolf Hitler
Christian Steiffen - Ich fühl' mich Disco,2,Christian Steiffen ,Ich fühl' mich Disco
Alex Gold - Ich Hodl Meine Cryptos,2,Alex Gold ,Ich Hodl Meine Cryptos
Loituma - Ievan Polkka (Radio Edit),2,Loituma ,Ievan Polkka (Radio Edit)
Van Halen - Jump - 2015 Remaster,2,Van Halen ,Jump - 2015 Remaster
Helge Schneider - Katzeklo,2,Helge Schneider ,Katzeklo
"Kenning West Records - Kenning West, Alder",2,Kenning West Records ,"Kenning West, Alder"
Tiger Hifi - King Of My Castle,2,Tiger Hifi ,King Of My Castle
Kleiner Hai - Kleiner Hai (Dim Dim...),2,Kleiner Hai ,Kleiner Hai (Dim Dim...)
Kleiner Hai - Kleiner Hai (Dim Dim),2,Kleiner Hai ,Kleiner Hai (Dim Dim)
Heilung - Krigsgaldr,2,Heilung ,Krigsgaldr
Roland Cristal - La Pantera,2,Roland Cristal ,La Pantera
Money Boy - Lederjacke,2,Money Boy ,Lederjacke
Ernst Busch - Lied der Partei (1950),2,Ernst Busch ,Lied der Partei (1950)
Sean Koch - Lift You Up,2,Sean Koch ,Lift You Up
Teddy Teclebrhan - Lohn Isch Da,2,Teddy Teclebrhan ,Lohn Isch Da
Clint Mansell - Lux Aeterna,2,Clint Mansell ,Lux Aeterna
Mehnersmoos - Mafikke,2,Mehnersmoos ,Mafikke
ABBA - Mamma Mia,2,ABBA ,Mamma Mia
"Tante Emma - Marmor, Stein und Eisen bricht",2,Tante Emma ,"Marmor, Stein und Eisen bricht"
Eure Mütter - Mein Sack,2,Eure Mütter ,Mein Sack
Jeans Team - Menschen,2,Jeans Team ,Menschen
Badesalz - Mitesszentrale,2,Badesalz ,Mitesszentrale
Danzig - Mother,2,Danzig ,Mother
Dimmu Borgir - Mourning Palace,2,Dimmu Borgir ,Mourning Palace
John Miles - Music,2,John Miles ,Music
The Red Army Choir - National Anthem of the Ussr,2,The Red Army Choir ,National Anthem of the Ussr
Jogger - Nephicide,2,Jogger ,Nephicide
AFROJACK - No Beef (feat. Miss Palmer) - Radio Edit,2,AFROJACK ,No Beef (feat. Miss Palmer) - Radio Edit
Serani - No Games,2,Serani ,No Games
Bob Marley & The Wailers - One Love / People Get Ready - Medley,2,Bob Marley & The Wailers ,One Love / People Get Ready - Medley
Brooks & Dunn - Only In America,2,Brooks & Dunn ,Only In America
Def Leppard - Pour Some Sugar On Me,2,Def Leppard ,Pour Some Sugar On Me
Endor - Pump It Up,2,Endor ,Pump It Up
Rammstein - Pussy,2,Rammstein ,Pussy
Adam & die Micky's - Quellkartoffel un Dupp-Dupp,2,Adam & die Micky's ,Quellkartoffel un Dupp-Dupp
Golden Earring - Radar Love,2,Golden Earring ,Radar Love
Imagine Dragons - Radioactive,2,Imagine Dragons ,Radioactive
NATTI NATASHA - Ram Pam Pam,2,NATTI NATASHA ,Ram Pam Pam
Yeat - Rav3 p4rty (feat. Kranky Kranky),2,Yeat ,Rav3 p4rty (feat. Kranky Kranky)
Etana - Reggae - Single,2,Etana ,Reggae - Single
Klemens Werner - Ride On,2,Klemens Werner ,Ride On
Metallica - Ride The Lightning - Remastered,2,Metallica ,Ride The Lightning - Remastered
Spiritbox - Rotoscope,2,Spiritbox ,Rotoscope
Money Boy - Rummelplatz,2,Money Boy ,Rummelplatz
Anime Allstars - Sag das Zauberwort (Sailor Moon),2,Anime Allstars ,Sag das Zauberwort (Sailor Moon)
Fettes Brot - Schwule Mädchen,2,Fettes Brot ,Schwule Mädchen
ZZ Top - Sharp Dressed Man - 2008 Remaster,2,ZZ Top ,Sharp Dressed Man - 2008 Remaster
Drachenlord - Skrrr Skrrr,2,Drachenlord ,Skrrr Skrrr
Deep Purple - Smoke on the Water,2,Deep Purple ,Smoke on the Water
[:SITD:] - Snuff Machinery (Club Version),2,[:SITD:] ,Snuff Machinery (Club Version)
Bilderbuch - Softpower,2,Bilderbuch ,Softpower
"Helge Schneider - Sommer, Sonne, Kaktus!",2,Helge Schneider ,"Sommer, Sonne, Kaktus!"
Dave - Sprinter,2,Dave ,Sprinter
Die Stoakogler - Steirermen san very good - Neuaufnahme 2011,2,Die Stoakogler ,Steirermen san very good - Neuaufnahme 2011
Dr. Dre - Still D.R.E.,2,Dr. Dre ,Still D.R.E.
"Dresdner Kreuzchor - Stille Nacht, heilige Nacht",2,Dresdner Kreuzchor ,"Stille Nacht, heilige Nacht"
RAF Camora - Strada,2,RAF Camora ,Strada
Dorfrocker - Supergeile Blasmusik,2,Dorfrocker ,Supergeile Blasmusik
"Ludwig van Beethoven - Symphony No. 5 in C Minor, Op. 67: 1. Allegro con brio",2,Ludwig van Beethoven ,"Symphony No. 5 in C Minor, Op. 67: 1. Allegro con brio"
"Ludwig van Beethoven - Symphony No. 5 In C Minor, Op. 67: 3. Allegro",2,Ludwig van Beethoven ,"Symphony No. 5 In C Minor, Op. 67: 3. Allegro"
Electric Callboy - Tekkno Train,2,Electric Callboy ,Tekkno Train
Bone Thugs-N-Harmony - Tha Crossroads,2,Bone Thugs-N-Harmony ,Tha Crossroads
Hampster Dance Masters - The Hamster Dance Song,2,Hampster Dance Masters ,The Hamster Dance Song
Fritz - Thüringer Klöße - Radio Version,2,Fritz ,Thüringer Klöße - Radio Version
